ZZZZ,T0001,18:12:04,04-JUL-2025
ZZZZ,T0002,18:12:09,04-JUL-2025
ZZZZ,T0003,18:12:14,04-JUL-2025
ZZZZ,T0004,18:12:19,04-JUL-2025
ZZZZ,T0005,18:12:24,04-JUL-2025
ZZZZ,T0006,18:12:29,04-JUL-2025
ZZZZ,T0007,18:12:34,04-JUL-2025
ZZZZ,T0008,18:12:39,04-JUL-2025
ZZZZ,T0009,18:12:44,04-JUL-2025
ZZZZ,T0010,18:12:49,04-JUL-2025
ZZZZ,T0011,18:12:54,04-JUL-2025
ZZZZ,T0012,18:12:59,04-JUL-2025
ZZZZ,T0013,18:13:04,04-JUL-2025
ZZZZ,T0014,18:13:09,04-JUL-2025
ZZZZ,T0015,18:13:14,04-JUL-2025
ZZZZ,T0016,18:13:19,04-JUL-2025
ZZZZ,T0017,18:13:24,04-JUL-2025
ZZZZ,T0018,18:13:29,04-JUL-2025
ZZZZ,T0019,18:13:34,04-JUL-2025
ZZZZ,T0020,18:13:39,04-JUL-2025
ZZZZ,T0021,18:13:44,04-JUL-2025
ZZZZ,T0022,18:13:49,04-JUL-2025
ZZZZ,T0023,18:13:54,04-JUL-2025
ZZZZ,T0024,18:13:59,04-JUL-2025
ZZZZ,T0025,18:14:04,04-JUL-2025
ZZZZ,T0026,18:14:09,04-JUL-2025
ZZZZ,T0027,18:14:14,04-JUL-2025
ZZZZ,T0028,18:14:19,04-JUL-2025
ZZZZ,T0029,18:14:24,04-JUL-2025
ZZZZ,T0030,18:14:29,04-JUL-2025
ZZZZ,T0031,18:14:34,04-JUL-2025
ZZZZ,T0032,18:14:39,04-JUL-2025
ZZZZ,T0033,18:14:44,04-JUL-2025
ZZZZ,T0034,18:14:49,04-JUL-2025
ZZZZ,T0035,18:14:54,04-JUL-2025
ZZZZ,T0036,18:14:59,04-JUL-2025
ZZZZ,T0037,18:15:04,04-JUL-2025
ZZZZ,T0038,18:15:09,04-JUL-2025
ZZZZ,T0039,18:15:14,04-JUL-2025
ZZZZ,T0040,18:15:19,04-JUL-2025
ZZZZ,T0041,18:15:24,04-JUL-2025
ZZZZ,T0042,18:15:29,04-JUL-2025
ZZZZ,T0043,18:15:34,04-JUL-2025
ZZZZ,T0044,18:15:39,04-JUL-2025
ZZZZ,T0045,18:15:44,04-JUL-2025
ZZZZ,T0046,18:15:49,04-JUL-2025
ZZZZ,T0047,18:15:54,04-JUL-2025
ZZZZ,T0048,18:15:59,04-JUL-2025
ZZZZ,T0049,18:16:04,04-JUL-2025
ZZZZ,T0050,18:16:09,04-JUL-2025
ZZZZ,T0051,18:16:14,04-JUL-2025
ZZZZ,T0052,18:16:19,04-JUL-2025
ZZZZ,T0053,18:16:24,04-JUL-2025
ZZZZ,T0054,18:16:29,04-JUL-2025
ZZZZ,T0055,18:16:34,04-JUL-2025
ZZZZ,T0056,18:16:39,04-JUL-2025
ZZZZ,T0057,18:16:44,04-JUL-2025
ZZZZ,T0058,18:16:49,04-JUL-2025
ZZZZ,T0059,18:16:54,04-JUL-2025
ZZZZ,T0060,18:16:59,04-JUL-2025
